title,track_id,description,start_date,end_date,price,event_type
Open Test Day - R9,15,Open Test Day Before Round 9,19/10/2024,19/10/2024,,Test
Open Test Day - R8,15,Open Test Day Before Round 8,14/09/2024,14/09/2024,,Test
Open Test Day - R7,15,Open Test Day Before Round 7,16/08/2024,16/08/2024,,Test
Open Test Day - R6,15,Open Test Day Before Round 6,20/07/2024,20/07/2024,,Test
Open Test Day - R5,15,Open Test Day Before Round 5,15/06/2024,15/06/2024,,Test
Open Test Day - R4,15,Open Test Day Before Round 4,18/05/2024,18/05/2024,,Test
Open Test Day - R3,15,Open Test Day Before Round 3,20/04/2024,20/04/2024,,Test
Open Test Day - R2,15,Open Test Day Before Round 2,16/03/2024,16/03/2024,,Test
Open Test Day - R10,15,Open Test Day Before Round 10,16/11/2024,16/11/2024,,Test
Open Test Day - R1,15,Open Test Day Before Round 1,17/02/2024,17/02/2024,,Test
Open Test Day,15,Open Test Day,24/02/2024,24/02/2024,,Test
Open Test Day,15,Open Test Day,23/03/2024,23/03/2024,,Test
Open Test Day,15,Open Test Day,27/04/2024,27/04/2024,,Test
Open Test Day,15,Open Test Day,25/05/2024,25/05/2024,,Test
Open Test Day,15,Open Test Day,21/06/2024,21/06/2024,,Test
Open Test Day,15,Open Test Day,22/06/2024,22/06/2024,,Test
Open Test Day,15,Open Test Day,27/07/2024,27/07/2024,,Test
Open Test Day,15,Open Test Day,23/08/2024,23/08/2024,,Test
Open Test Day,15,Open Test Day,24/08/2024,24/08/2024,,Test
Open Test Day,15,Open Test Day,21/09/2024,21/09/2024,,Test
Open Test Day,15,Open Test Day,26/10/2024,26/10/2024,,Test
Open Test Day,15,Open Test Day,23/11/2024,23/11/2024,,Test
Open Test Day,15,Open Test Day,23/11/2024,23/11/2024,,Test
Thursday Practice,13,April Thursday Practice,04/04/2024,04/04/2024,,Test
Friday Practice,13,Friday Practice Day Prior To Round 3,19/04/2024,19/04/2024,,Test
Friday Practice,13,Friday Practice Day Prior To Round 8,13/09/2024,13/09/2024,,Test